회사명	PER
3S	-11.87
AJ네트웍스	25.15
AJ렌터카	24.85
AK홀딩스	11.49
APS홀딩스	0.23
AP시스템	14.63
AP위성	21.65
BGF	2.18
BNK금융지주	6.48
BYC	13.72
C&S자산관리	-0.65
CJ	12.23
CJ CGV	2304.04
CJ E&M	7.77
CJ대한통운	69.15
CJ씨푸드	24.83
CJ오쇼핑	55.15
CJ제일제당	13.44
CJ프레시웨이	-36.4
CJ헬로	-77.13
CMG제약	278.6
CNH	27.07
CS	18.66
CSA 코스믹	-11.72
CS홀딩스	13.65
DB	-66.41
DB금융투자	11.47
DB라이텍	71.57
DB손해보험	7.81
DB하이텍	8.16
DGB금융지주	6.69
DMS	5.82
DRB동일	6.66
DSC인베스트먼트	41.28
DSR	7.65
DSR제강	11.39
E1	52.16
EG	252.29
EMW	-282.19
F&F	13.24
GH신소재	21.78
GKL	19.08
GMR 머티리얼즈	-10.41
GRT	4.75
GS	6.36
GST	5.98
GS건설	-24.54
GS글로벌	15.09
GS리테일	13.21
GS홈쇼핑	14.1
HB테크놀러지	6.45
HRS	11.91
IBKS제3호스팩	-338.33
IBKS제5호스팩	409.09
IBKS제6호스팩	-581.07
IBKS제8호스팩	0
IHQ	43.17
iMBC	-69.74
ISC	13.62
ITX엠투엠	-5.91
JB금융지주	5.76
JW생명과학	27.72
JW신약	-102.95
JW중외제약	70.73
JW홀딩스	-96.16
JYP Ent.	47.46
KB금융	8.77
KB오토시스	4.7
KCC	29.06
KCC건설	6.47
KCI	17.65
KCTC	12.88
KC그린홀딩스	35.34
KC코트렐	19.73
KD건설	-5.97
KEC	34.98
KG ETS	23.19
KGP	-1.74
KG모빌리언스	20.42
KG이니시스	120.85
KG케미칼	42.97
KH바텍	-7.48
KISCO홀딩스	5.72
KJ프리텍	11.34
KMH	12.5
KMH하이텍	31
KNN	12.19
KPX그린케미칼	31.38
KPX생명과학	17.5
KPX케미칼	13.14
KPX홀딩스	12.74
KR모터스	-3.76
KSS해운	6.86
KT	11.39
KT&G	12.18
KTB투자증권	8.35
KTcs	11.77
KTH	56.9
KT서브마린	12.79
LF	13.29
LG	7.19
LG디스플레이	4.54
LG상사	15.06
LG생활건강	31.03
LG유플러스	12.37
LG이노텍	17.14
LG전자	13.08
LG하우시스	10.3
LG화학	16.19
LIG넥스원	14.01
LS	11.29
LS네트웍스	-3.8
LS산전	18.92
LS전선아시아	15.74
MH에탄올	5.87
MP그룹	-12.09
MP한강	23.51
NAVER	39.71
NEW	-74.56
NE능률	22.5
NHN벅스	-15.34
NHN엔터테인먼트	-72.37
NHN한국사이버결제	31.14
NH투자증권	14.95
NICE	12.99
NICE평가정보	20.42
NI스틸	7.55
NPC	14.16
OCI	32.38
PN풍년	22.43
POSCO	14.35
RFHIC	400.23
S&K폴리텍	10.29
S&TC	33.95
S&T모티브	13.75
S&T중공업	-20.83
S&T홀딩스	17.33
SBI인베스트먼트	61.44
SBI핀테크솔루션즈	38.44
SBS	23.24
SBS미디어홀딩스	47.03
SBS콘텐츠허브	-147.16
SCI평가정보	3662.7
SDN	518.6
SFA반도체	52.25
SG&G	19.34
SGA	-24.87
SGA솔루션즈	51.24
SG세계물산	-28.33
SG충방	-56.36
SH에너지화학	12.29
SIMPAC	11.36
SIMPAC Metal	10.04
SJM	6.85
SJM홀딩스	4.09
SK	17.07
SK1호스팩	0
SK3호스팩	-7290
SKC	16.94
SKC 솔믹스	18.43
SKC코오롱PI	37.68
SK가스	5.85
SK네트웍스	-21.68
SK디스커버리	7.64
SK디앤디	7.02
SK머티리얼즈	17.12
SK바이오랜드	30.21
SK이노베이션	9.38
SK증권	29.93
SK텔레콤	8.64
SK하이닉스	6.08
SM C&C	-26.09
S-Oil	12.8
SPC삼립	30.25
STX	1.61
STX엔진	-42.46
STX중공업	0.37
TBH글로벌	150.76
TCC동양	4.13
THE E&M	74.04
TJ미디어	22.06
TPC	-228.94
UCI	-2.1
WISCOM	60.46
W홀딩컴퍼니	25.01
YG PLUS	-21.16
YTN	22.38
YW	14.52
가비아	19.06
가온미디어	13.76
가온전선	-54.95
감마누	395.36
갑을메탈	10.68
강남제비스코	8.72
강스템바이오텍	-20.27
강원랜드	16.72
갤럭시아에스엠	-33.9
갤럭시아컴즈	44.13
게임빌	32.05
경남스틸	150.75
경남제약	-876.54
경농	9.97
경동나비엔	24.9
경동도시가스	25.96
경동인베스트	2.98
경동제약	17.14
경방	13.84
경보제약	21.48
경인양행	48.28
경인전자	31.46
경창산업	-9.59
계룡건설	4.93
계양전기	14.22
고려개발	-10.05
고려반도체	13.35
고려산업	20.39
고려시멘트	18.14
고려신용정보	11.48
고려아연	14.83
고려제강	14.61
고려제약	16.85
고영	34.49
골드퍼시픽	-1.47
골든브릿지제3호스팩	-382.58
골든브릿지제4호스팩	150.62
골든브릿지증권	-21.33
골든센츄리	-58.02
골프존	4.19
골프존뉴딘	-20.48
광동제약	23.9
광림	-25.87
광명전기	37.74
광전자	12.65
광주신세계	8.05
광주은행	4.88
광진실업	29.83
광진윈텍	-32.32
교보5호스팩	-544.35
교보7호스팩	-251.88
교보비엔케이스팩	639.91
교보증권	8.59
구영테크	12.52
국도화학	10.5
국동	6.53
국보	-3.21
국보디자인	11.39
국순당	8.47
국영지앤엠	99.36
국일신동	14.81
국일제지	2470.35
국제약품	51.14
그랜드백화점	3.56
극동유화	6.83
글로벌에스엠	-165.22
글로벌텍스프리	-140.81
글로본	-11.2
금강공업	5.7
금강철강	12.86
금비	21.47
금양	-14.3
금호산업	-17.37
금호석유	23.44
금호에이치티	6.7
금호전기	-2.7
금호타이어	-20.82
금화피에스시	9.74
기가레인	-15.63
기산텔레콤	-9.53
기신정기	168.6
기아차	11.48
기업은행	6.37
까뮤이앤씨	10.92
깨끗한나라	85.7
나노	-3.32
나노메딕스	1294.34
나노스	8.97
나노신소재	27.72
나노엔텍	-23.52
나노캠텍	-28.86
나라엠앤디	18.12
나무가	-3.41
나스미디어	32.5
나이벡	-40.36
나이스디앤비	16.69
나이스정보통신	7.33
남광토건	-23.78
남선알미늄	6.64
남성	39.81
남양유업	32.13
남영비비안	94.73
남해화학	26.48
남화토건	9.07
내츄럴엔도텍	-32.8
네오디안테크놀로지	-26.94
네오오토	6.09
네오위즈	-54.84
네오위즈홀딩스	-6.87
네오티스	-6.56
네오팜	38.93
네이블	-8.73
네이처셀	-1693.62
네패스	31.65
네패스신소재	-38.21
넥센	4.61
넥센타이어	8.66
넥센테크	56.59
넥스지	89.27
넥스턴	9.87
넥스트BT	-27.94
넥스트리밍	-7.11
넥스트바이오홀딩스	-8.67
넥스트아이	186.49
넥스트칩	-19.63
넥슨지티	-172.91
넵튠	-44.88
넷게임즈	-70.36
넷마블게임즈	80.92
노루페인트	5.38
노루홀딩스	4.43
녹십자	35.32
녹십자랩셀	394.21
녹십자셀	273.27
녹십자엠에스	216.78
녹십자홀딩스	30.73
녹원씨아이	-11.61
농심	21.2
농심홀딩스	13.52
농우바이오	-27.64
누리텔레콤	33
누리플랜	-15.4
뉴로스	-161.46
뉴보텍	-96.24
뉴인텍	-7.65
뉴트리바이오텍	52.17
뉴파워프라즈마	12.83
뉴프라이드	-14.88
뉴프렉스	26.83
닉스테크	-29.45
다나와	16.01
다날	34.96
다믈멀티미디어	-20.39
다산네트웍스	-6.43
다우기술	10.87
다우데이타	26.62
다우인큐브	-99.43
다원시스	54.82
대경기계	-10.04
대교	12.99
대구백화점	-8.13
대덕GDS	29.72
대덕전자	14.34
대동공업	45.93
대동금속	14.6
대동기어	-8.65
대동스틸	6.84
대동전자	18.26
대륙제관	8.57
대림B&Co	15.65
대림산업	5.09
대림씨엔에스	7.22
대림제지	34.26
대림통상	164.25
대명코퍼레이션	18.07
대봉엘에스	17.35
대상	17.96
대상홀딩스	14.67
대성미생물	16.69
대성산업	-5.18
대성에너지	11.97
대성엘텍	144.44
대성창투	-156.68
대성파인텍	16.04
대성홀딩스	10.62
대신밸런스제4호스팩	0
대신정보통신	20.57
대신증권	7.76
대아티아이	10.61
