회사명	ROA(영업이익)(%)
3R	
3S	
3SOFT	
3노드디지탈	
AD모터스	
AJS	
AJ네트웍스	3.43
AJ렌터카	3.39
AK홀딩스	11.36
AP시스템	11.92
AP우주통신	
AP위성	-4.76
BET	
BGF리테일	15.29
BHK	
BNK금융지주	0.87
BYC	0.99
C&S자산관리	0.61
C&우방	
C&중공업	
CJ	5.9
CJ CGV	5.58
CJ E&M	0.47
CJ대한통운	4.61
CJ씨푸드	4.71
CJ엔터테인	
CJ오쇼핑	6.81
CJ인터넷	
CJ제일제당	6.53
CJ프레시웨이	4.24
CJ헬로비전	5.07
CL	
CMG제약	4.1
CNH	4.42
CS	-5.77
CSA 코스믹	4.74
CS홀딩스	5.75
CT&T	
CU전자	
DGB금융지주	0.71
DMS	14.34
DRB동일	4.66
DSC인베스트먼트	21.8
DSR	6.81
DSR제강	3.53
E1	-3.31
EG	0.33
EMW	6.78
F&F	8.44
FnC코오롱	
GBS	
GH신소재	6.73
GKL	21.31
GK파워	
GMR 머티리얼즈	-2.48
GPS	
GRT	
GS	8.28
GST	10.08
GS건설	1.18
GS글로벌	2.52
GS리테일	6.87
GS홈쇼핑	7.04
GT&T	
H1바이오	
HB테크놀러지	30.6
HMC투자증권	0.81
HRS	2.9
i 인프라	
IBKS스팩1호	
IBKS제3호스팩	-1.08
IBKS제5호스팩	
IBKS지엠비스팩	
IC코퍼레이션	
IDH	
IHQ	5.79
iMBC	4.7
ISC	4.81
ITX엠투엠	-19.99
JB금융지주	0.7
JS	
JS전선	-0.6
JW생명과학	12.01
JW신약	3.83
JW중외제약	2.8
JW홀딩스	3.58
JYP Ent.	17.81
KB금융	0.83
KB손해보험	1.16
KB오토시스	10.92
KB캐피탈	2.12
KCC	4.4
KCC건설	3.08
KCI	10.52
KCTC	3.13
KCW	-2.54
KC그린홀딩스	4.46
KC코트렐	4.53
KD건설	2.9
KEC	1.97
KEPS	
KEP전자	
KG ETS	4.46
KGP	-7.46
KG모빌리언스	7.29
KG이니시스	6.29
KG케미칼	5.47
KH바텍	-2.48
KISCO홀딩스	3.6
KJ프리텍	-7.17
KMH	7.41
KMH하이텍	4.29
KNC	
KNN	-1.09
KNS홀딩스	
KPX그린케미칼	2.79
KPX생명과학	9.18
KPX케미칼	7.37
KPX홀딩스	4.45
KR모터스	2.04
KSS해운	5.36
KT	5.47
KT&G	19.52
KTB투자증권	0.25
KTcs	1.36
KTC텔레콤	
KTF	
KTH	3.14
KT뮤직	4.85
KT서브마린	0.83
LF	1.3
LG	7.07
LGEI	
LG금속	
LG데이콤	
LG디스플레이	5.6
LG마이크론	
LG상사	1.67
LG생명과학	4.94
LG생활건강	22.02
LG석유화학	
LG유플러스	7.08
LG이노텍	2.08
LG전자	3.04
LG정보	
LG종합금융	
LG카드	3.91
LG파워콤	
LG하우시스	5.97
LG화학	9.23
LIG넥스원	4.95
LS	2.5
LS네트웍스	-3.28
LS산전	5.44
LS전선아시아	6.37
MBK	-4.38
MDS테크	7.4
MH에탄올	12.27
MPK	2.32
MTRON	
NAVER	20.68
NEW	21.2
NHN엔터테인먼트	0.49
NHN한국사이버결제	8.68
NH농협증권	
NH투자증권	0.78
NICE	8.84
NICE평가정보	18.57
NI스틸	6.28
NPC	7.23
OCI	0.14
PN풍년	5.96
POSCO	5.29
PW제네틱스	
S&K폴리텍	5.72
S&TC	6.98
S&T모티브	8.33
S&T중공업	-0.2
S&T홀딩스	4.36
SBI모기지	
SBI액시즈	
SBI인베스트먼트	1.45
SBS	-5.99
SBS미디어홀딩스	0.99
SBS콘텐츠허브	2.5
SCI평가정보	-6.8
SDN	2.48
SFA반도체	3.57
SG&G	4.79
SGA	4.51
SGA솔루션즈	9.12
SG세계물산	5.27
SG충방	1.92
SH에너지화학	20.92
SIMPAC	-1.19
SIMPAC METALLOY	-0.46
SJM	7.03
SJM홀딩스	4.88
SK	3.71
SK	
SK1호스팩	-0.18
SK2호스팩	-1.06
SK3호스팩	
SKC	2.09
SKC 솔믹스	11.21
SKC코오롱PI	11.89
SK가스	4.54
SK네트웍스	1.96
SK디앤디	2.59
SK머티리얼즈	19.66
SK바이오랜드	7.56
SK브로드밴드	2.81
SK이노베이션	5.16
SK증권	0.26
SK컴즈	-6.12
SK케미칼	4.54
SK텔레콤	5.84
SK하이닉스	9.93
SM C&C	11.08
S-Oil	3.64
SPC삼립	8.19
SSCP	
ST&I	
STX	5.7
STX엔진	-2.9
STX조선해양	-16.4
STX중공업	-13.01
SY	
TBH글로벌	-7.64
TCC동양	1.67
THE E&M	13.89
TJ미디어	0.51
TPC	1.53
UC아이콜스	
VK	
WISCOM	0.04
W홀딩컴퍼니	1.11
YG PLUS	-3.01
YTN	-3.41
YW	7.26
가비아	10.06
가온미디어	8.09
가온전선	2.65
감마누	-22.41
갑을	
갑을메탈	-1.04
갑을방적	
강남제비스코	5.98
강남화성	
강스템바이오텍	-25.61
강원랜드	17.23
강원산업	
강원은행	
갤럭시아에스엠	-4.43
갤럭시아컴즈	3.99
거성산업	
건영	
건영종건	
게임빌	0.02
경기은행	
경남기업	-0.26
경남리스	
경남모직	
경남스틸	2.75
경남에너지	-0.78
경남은행	0.75
경남은행	
경남제약	14.57
경남종합금융	
경농	-8.61
경동	
경동가스	4.08
경동나비엔	7.06
경동산업	
경동제약	11.96
경방	3.23
경보제약	4.66
경봉	-2.88
경북신금	
경북콘크리트	
경윤하이드로	
경인양행	1.84
경인전자	3.52
경창산업	0.52
경향건설	
계룡건설	4
계몽사	
계양전기	6.41
고덴시	
고려개발	0.47
고려반도체	-9.25
고려산업	4.37
고려석유화학	
고려시멘트	
고려신용정보	20.13
고려아연	10.51
고려제강	1.96
고려제약	7.52
고려종합금융	
고려증권	
고려포리머	-3.32
고려화학	
고영	20.38
고제	
고합	
고합물산	
골든브릿지제2호스팩	-0.54
골든브릿지제3호스팩	-0.25
골든브릿지제4호스팩	-1.53
골든브릿지증권	-0.51
골든센츄리	
골프존	24.77
골프존유원홀딩스	14.84
공영토건	
광덕물산	
광동제약	7.59
광림	-1.91
광명전기	3.07
광일	
광전자	0.61
광주신세계	7.09
광주은행	0.83
광주은행	
광진실업	-0.98
광진윈텍	3.66
교보5호스팩	-0.25
교보비엔케이스팩	
교보증권	1.55
교하	
구영테크	2.93
국도화학	2.43
국동	9.53
국민은행	0.72
국민은행	
국민카드	
국보	1.19
국보디자인	7.61
국순당	-2.31
국영지앤엠	-2.65
국일신동	0.85
국일제지	-1.41
국정교과서	
국제밸브	
국제약품	3.92
국제엘렉트릭	
국제종토	
굿모닝신한증권	0.67
굿이엠지	
그랜드백화점	-0.11
그로웰전자	
그로웰텔레콤	
그린기술투자	-2.07
그린손해보험	
극동유화	8.75
극동전선	-7.18
극동제혁	
글로벌에스엠	7.99
글로본	
글로스텍	
글로웍스	
글로포스트	
금강공업	8.14
금강정공	
금강제강	
금강철강	0.48
금강피혁	
금강화섬	
금경	
금비	7.53
금성계전	
금성기전	
금성제관	
금성테크	-31.36
금성통신	
금양	6.64
금하방직	
금호건설	
금호산업	3.68
금호석유	2.12
금호에이치티	8.64
금호전기	2.34
금호케미칼	
금호타이어	0.74
